18,17,20,15,9,15,6
2,35,19,10,2,23,9
16,15,11,0,27,22,9
19,17,27,9,0,12,16
21,16,43,0,5,2,13
9,4,37,0,19,22,9
14,1,16,0,25,30,14
2,42,0,15,1,15,25
23,12,10,31,14,0,10
10,29,23,6,12,13,7
3,10,28,27,28,0,4
1,31,2,14,21,27,4
11,7,43,6,2,11,20
2,9,24,28,23,2,12
5,10,22,0,14,24,25
15,6,6,8,39,19,7
14,22,9,3,30,0,22
12,36,16,20,10,3,3
21,21,24,10,6,8,10
8,15,27,15,18,10,7
20,17,12,2,27,1,21
19,6,16,36,9,2,12
26,3,16,23,4,3,25
31,2,15,6,22,14,10
6,12,44,8,10,5,15
17,0,21,2,53,3,4
29,11,5,19,16,0,20
15,14,10,8,3,18,32
5,10,9,7,36,15,18
7,7,36,1,22,11,16
4,9,39,7,16,15,10
4,23,28,18,0,24,3
12,12,40,15,0,2,19
6,20,22,1,2,1,48
9,19,29,22,3,9,9
4,10,14,17,15,15,25
1,35,28,17,5,10,4
25,3,35,8,10,10,9
40,2,2,16,9,6,25
2,6,24,16,21,22,9
17,30,2,7,3,25,16
11,32,2,22,0,2,31
19,20,0,7,3,43,8
43,27,5,0,16,3,6
48,18,5,4,14,8,3
6,19,15,24,16,16,4
11,1,11,11,27,23,16
6,9,4,3,37,34,7
4,1,31,5,28,6,25
41,34,4,6,5,7,3
3,6,27,19,0,25,20
4,4,46,7,2,27,10
37,2,1,10,8,33,9
6,3,8,2,46,3,32
11,22,4,6,37,17,3
6,27,5,19,15,9,19
20,31,23,2,14,4,6
17,18,8,10,8,6,33
27,16,21,13,2,8,13
39,7,9,3,0,37,5
12,13,8,11,15,1,40
3,0,38,3,0,8,48
11,15,21,13,6,15,19
10,7,29,1,13,35,5
20,17,22,1,20,8,12
1,10,2,22,25,29,11
7,4,26,0,29,13,21
0,10,20,12,10,24,24
4,8,27,11,16,15,19
15,8,13,10,14,33,7
10,43,4,2,14,17,10
41,16,7,13,3,13,7
24,4,26,12,6,3,25
0,17,27,13,2,18,23
24,5,30,1,30,5,5
11,0,16,18,14,10,31
11,15,38,11,9,12,4
15,11,11,13,1,8,41
1,20,26,35,7,7,4
14,0,40,1,20,18,7
27,8,10,5,9,4,37
6,56,9,10,4,11,4
20,27,21,5,13,5,9
4,5,18,3,30,17,23
15,9,24,19,0,28,5
2,0,2,14,69,4,9
24,0,1,28,9,5,33
2,30,12,6,21,9,20
20,5,20,30,14,2,9
12,3,52,6,8,6,13
13,24,11,28,15,4,5
7,6,9,45,5,3,25
12,13,26,15,10,19,5
13,3,13,9,25,0,37
1,7,0,12,10,54,16
17,29,6,2,6,15,25
4,16,0,6,37,21,16
26,29,12,10,1,10,12
18,27,12,6,5,15,17
8,13,31,16,8,21,3
