50,21,8,9,9
4,27,3,39,24
13,29,18,38,0
45,2,16,35,0
45,12,18,17,6
7,3,58,5,24
2,24,18,0,54
70,2,0,19,7
5,57,28,1,7
21,10,5,39,22
12,19,12,11,43
3,1,1,12,80
2,73,2,7,13
7,39,17,1,34
54,8,6,7,23
13,54,11,10,9
61,8,14,13,1
43,24,15,15,2
11,57,13,8,9
10,14,26,0,47
8,12,33,17,28
3,11,1,3,79
8,0,6,39,44
0,44,6,21,26
28,27,19,2,21
10,3,39,24,21
2,27,27,8,33
1,33,43,8,12
30,35,3,11,18
14,30,4,46,3
45,24,5,4,19
6,8,44,31,8
14,63,3,17,0
13,44,9,9,22
30,34,7,27,0
19,5,42,31,0
2,9,4,23,59
6,37,19,35,0
9,7,8,16,57
4,5,25,21,42
29,9,15,26,18
7,30,50,7,4
20,0,7,67,4
30,28,2,21,16
16,17,46,15,4
24,49,8,15,2
22,23,29,16,7
39,1,45,12,0
20,35,18,15,9
67,8,7,7,9
18,13,6,57,4
13,24,20,16,24
6,6,3,31,52
16,8,3,58,12
17,2,2,37,39
12,10,2,34,40
1,5,15,35,41
8,43,2,25,18
8,30,11,17,32
22,0,15,8,52
32,32,0,22,12
3,3,45,11,35
6,35,45,7,4
14,2,55,1,25
15,0,22,6,55
18,34,36,2,8
1,10,9,71,6
37,35,3,15,8
22,2,28,6,40
31,8,19,26,13
45,46,1,0,6
2,2,21,69,4
14,4,38,26,15
9,57,14,4,13
12,25,14,1,46
3,29,22,14,29
39,11,9,11,28
9,2,24,15,47
29,23,6,29,12
5,4,15,41,34
11,15,31,30,10
50,11,22,10,5
33,11,26,16,11
44,0,49,0,5
1,29,32,32,4
4,1,21,62,9
4,32,7,9,46
33,23,21,15,6
20,43,6,22,5
73,0,10,8,6
15,6,29,22,25
35,4,27,29,3
3,36,0,42,16
32,3,14,17,31
10,6,26,47,8
6,1,69,17,5
11,6,34,16,31
12,9,11,8,58
5,22,0,63,7
25,28,16,26,3
38,3,6,13,38
0,16,0,77,5
30,8,14,34,11
28,37,1,14,18
1,29,15,50,3
8,19,46,18,7
19,19,3,8,48
39,1,45,0,12
1,13,9,44,30
3,0,28,4,63
7,21,49,20,1
16,25,27,22,7
12,17,21,44,3
66,4,5,9,14
71,10,11,1,4
9,19,46,1,22
1,3,15,7,72
32,16,15,0,35
7,27,18,22,23
36,29,20,0,12
25,21,35,6,10
31,15,4,13,34
28,3,19,33,14
18,15,4,2,58
15,1,41,19,23
0,13,38,4,42
7,56,1,3,31
0,11,54,30,2
8,60,0,29,1
16,46,28,6,1
9,16,46,18,8
9,5,48,19,16
13,2,50,32,0
2,9,14,17,56
11,54,3,28,2
27,7,20,21,23
34,1,36,24,2
14,7,2,7,67
17,12,2,32,35
42,12,35,1,7
13,37,14,12,21
1,22,53,3,18
32,12,28,11,15
50,0,6,8,33
25,0,23,43,7
3,13,18,17,47
1,40,10,45,1
15,48,1,13,21
52,12,15,1,17
13,25,12,43,4
1,1,12,20,63
4,6,37,0,51
14,11,3,30,40
4,22,65,0,6
26,3,22,27,20
24,35,27,10,1
20,28,25,6,18
3,20,18,31,26
17,23,22,24,11
1,25,18,25,28
12,27,5,32,23
21,29,10,10,28
0,1,38,19,40
7,24,16,46,5
2,56,1,5,34
5,60,0,9,23
25,18,0,1,53
24,7,5,1,61
6,35,34,6,16
41,33,1,17,6
61,0,6,2,30
32,38,0,0,27
26,18,31,21,2
17,8,40,30,3
12,19,39,1,26
23,22,18,34,1
74,10,4,5,4
30,45,5,14,4
75,2,3,2,15
50,27,4,9,8
1,24,9,28,36
3,31,47,10,8
4,16,31,31,16
46,22,6,1,22
41,6,8,10,33
13,35,44,3,2
10,11,1,9,67
0,40,23,21,13
35,25,7,14,18
1,64,25,0,7
33,6,12,9,38
13,21,4,23,36
23,33,25,0,16
45,2,36,1,14
18,25,33,3,19
41,24,6,16,9
9,17,2,11,59
4,13,37,34,10
57,3,3,11,24
7,5,39,41,6
70,1,4,22,0
10,20,29,36,1
3,11,9,35,39
10,10,37,24,16
36,28,1,25,8
14,24,53,1,6
0,19,35,10,33
38,16,33,10,0
69,12,3,13,0
1,21,27,19,29
26,47,0,10,14
16,18,9,6,49
2,3,20,2,71
54,24,1,10,8
41,19,9,13,17
22,5,1,24,45
34,11,9,43,1
22,10,34,4,27
26,43,2,18,8
20,54,10,10,2
22,1,25,18,31
3,49,2,43,0
13,57,17,4,7
34,27,0,4,32
33,50,1,14,0
36,45,10,8,0
38,8,11,37,3
30,19,13,23,13
5,19,36,20,18
26,6,38,20,8
36,5,3,48,6
2,12,35,5,44
6,5,1,13,72
8,59,10,19,0
7,34,35,16,6
17,2,34,19,26
1,31,6,45,15
5,29,25,33,4
23,36,2,18,18
2,28,8,15,44
9,6,30,35,17
14,2,9,21,53
36,30,19,2,11
37,2,11,14,33
12,29,1,32,23
34,19,3,23,18
35,21,30,0,12
10,60,13,3,12
3,6,38,33,18
10,19,4,15,50
33,6,16,39,3
10,0,22,53,13
0,35,0,56,7
9,6,13,52,18
62,3,16,8,9
5,11,1,72,9
28,43,0,16,10
80,6,7,4,0
7,6,73,2,10
72,14,3,3,6
2,4,11,58,23
43,7,16,31,1
6,19,14,30,29
17,24,6,42,9
82,0,4,7,5
2,76,15,3,1
2,2,60,6,28
5,2,53,9,29
22,13,22,7,33
8,1,10,16,63
11,15,28,33,11
26,3,35,5,30
6,18,20,35,18
34,31,7,4,22
32,28,1,36,0
36,10,3,47,1
58,1,10,12,16
42,3,24,0,29
22,34,31,2,9
1,20,5,37,34
8,39,37,10,4
42,0,47,0,8
1,16,62,5,14
18,9,31,36,5
7,5,59,24,3
47,12,23,1,14
33,4,19,27,14
19,33,8,37,2
36,28,0,12,22
33,50,12,3,0
48,21,4,11,14
8,53,10,8,18
31,16,28,9,14
19,11,65,2,1
14,1,34,40,8
30,17,9,1,39
9,18,54,2,15
5,29,47,2,14
38,28,3,24,5
22,47,0,10,18
32,23,31,7,4
9,3,25,38,22
15,2,8,4,69
2,26,24,16,29
2,16,36,38,6
63,23,6,1,5
32,13,5,6,41
2,44,37,2,12
46,5,27,8,11
0,2,4,14,79
9,19,28,20,21
4,30,13,8,44
54,7,13,13,10
12,7,37,15,27
41,18,3,21,15
27,40,10,14,7
9,10,50,12,16
35,11,11,32,8
2,8,4,24,59
32,4,23,22,16
27,23,2,10,35
18,24,6,21,28
14,22,1,20,41
16,7,2,3,70
9,15,37,8,29
34,8,28,5,23
7,25,47,16,3
14,50,0,18,16
48,16,26,7,1
7,26,3,25,37
31,38,11,15,2
13,29,37,0,19
41,5,8,17,27
34,6,17,30,10
11,7,20,7,52
25,13,32,16,12
13,39,25,11,9
46,2,18,28,3
5,8,22,38,25
2,11,3,18,63
23,1,12,0,61
2,8,13,70,5
17,19,34,6,22
17,36,0,1,44
7,44,2,22,22
42,17,3,20,16
59,6,14,16,2
5,47,21,5,19
11,34,39,4,9
16,15,22,42,3
4,8,18,2,66
45,31,6,5,11
33,50,13,0,1
23,63,3,10,0
34,4,26,5,29
25,2,30,39,2
2,3,11,15,68
8,18,0,46,26
10,12,28,2,44
3,32,43,9,10
0,21,28,1,47
21,19,44,9,4
43,0,11,42,2
48,0,11,6,32
13,4,33,13,34
34,0,31,2,30
5,17,22,38,14
6,30,15,35,11
2,4,1,27,64
20,32,13,21,12
24,25,5,41,2
9,22,0,2,64
34,2,13,48,1
64,10,17,1,6
2,33,5,55,3
21,14,40,16,7
36,9,2,5,46
3,16,19,8,51
50,20,20,7,0
29,20,27,2,19
17,10,34,34,3
1,3,11,14,68
29,26,25,9,7
6,13,30,10,39
5,0,21,63,9
6,9,34,14,34
12,6,2,16,61
36,18,15,25,4
12,17,31,3,35
9,2,61,11,14
19,6,22,11,41
13,10,7,63,5
33,21,32,0,11
6,80,11,1,1
49,0,34,0,14
25,46,17,7,3
15,22,0,47,14
22,30,6,36,4
18,13,24,32,9
39,8,7,11,33
18,46,3,0,30
18,11,52,14,3
31,6,13,23,24
57,11,10,0,18
20,12,7,13,46
30,16,46,0,5
0,65,14,12,7
22,6,33,12,25
36,34,7,16,4
3,4,17,59,14
11,44,16,1,25
22,39,5,14,17
13,45,12,5,23
6,6,43,3,38
15,27,38,16,2
9,12,29,8,40
39,18,12,22,8
7,9,45,0,36
13,39,7,9,29
17,25,15,20,20
4,32,41,4,16
0,32,1,44,20
28,5,6,45,13
6,17,1,39,35
6,40,2,40,11
43,35,4,11,4
13,4,29,1,51
18,49,16,14,0
12,36,6,12,31
9,5,13,12,59
16,11,38,24,7
16,20,30,17,14
5,23,36,0,33
11,13,47,0,26
5,36,21,20,15
48,5,10,0,35
20,12,13,34,19
0,16,8,24,50
3,11,8,15,60
30,34,22,7,4
5,69,11,3,9
19,21,14,9,34
3,55,2,9,29
8,38,9,23,20
1,38,19,32,7
4,26,13,44,11
12,11,54,20,1
6,11,10,67,4
47,16,3,2,29
21,5,2,66,3
30,21,14,12,20
39,25,3,1,30
7,3,54,32,1
31,29,6,27,4
11,7,18,4,57
4,63,10,3,18
45,23,9,13,8
43,7,7,40,0
1,5,8,67,16
40,14,28,0,16
4,27,23,15,27
20,3,13,57,4
12,25,46,7,7
47,20,3,24,4
19,13,6,52,7
7,10,71,7,3
3,2,49,19,25
1,27,60,5,5
7,31,38,14,8
4,40,11,16,26
13,48,4,7,25
2,11,4,62,19
1,11,24,15,47
4,5,24,16,49
7,12,18,47,13
7,43,27,11,9
12,27,6,7,46
3,10,21,39,24
0,48,19,16,15
5,26,24,14,29
39,38,10,7,3
0,10,49,20,19
2,44,6,12,33
71,0,1,12,14
20,40,16,19,3
24,22,34,10,8
6,9,10,55,16
49,4,2,21,22
19,9,60,8,1
11,10,53,22,2
8,1,65,21,3
6,52,0,34,5
73,1,17,5,1
21,38,18,7,14
20,5,6,5,61
10,24,14,32,17
18,35,22,14,9
15,2,11,37,33
5,49,24,16,3
15,21,38,17,6
